MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	AURKAIP1	0.772489	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
CYC1	MRPL20	0.712995			true	true
CYC1	EBNA1BP2	0.720632			true	false
CYC1	PSMB4	0.740307		KEGG_PROTEASOME	true	false
CYC1	SCAMP3	0.722062			true	false
CYC1	ZNF513	0.718016			true	false
CYC1	CCT7	0.708969			true	true
CYC1	IMP4	0.781756			true	false
CYC1	RRP9	0.712696			true	false
CYC1	NDUFS6	0.729551		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PRELID1	0.733139			true	true
CYC1	NHP2	0.722907			true	false
CYC1	VARS	0.747395		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	true	false
CYC1	PFDN6	0.790202			true	false
CYC1	SNRPC	0.71401		KEGG_SPLICEOSOME	true	false
CYC1	SF3B5	0.713843		KEGG_SPLICEOSOME	true	false
CYC1	POLD2	0.721128		KEGG_BASE_EXCISION_REPAIR,KEGG_DNA_REPLICATION,KEGG_HOMOLOGOUS_RECOMBINATION,KEGG_MISMATCH_REPAIR,KEGG_NUCLEOTIDE_EXCISION_REPAIR,KEGG_PURINE_METABOLISM,KEGG_PYRIMIDINE_METABOLISM	true	false
CYC1	TBRG4	0.759781			true	true
CYC1	WBSCR22	0.715831		KEGG_HISTIDINE_METABOLISM,KEGG_SELENOAMINO_ACID_METABOLISM,KEGG_TYROSINE_METABOLISM	true	false
CYC1	MDH2	0.751494		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PYRUVATE_METABOLISM	true	true
CYC1	EXOSC4	0.718839		KEGG_RNA_DEGRADATION	true	false
CYC1	STOML2	0.829794			true	true
CYC1	SEC61B	0.718277		KEGG_PROTEIN_EXPORT,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
CYC1	PSMB7	0.711264		KEGG_PROTEASOME	true	false
CYC1	PTGES2	0.720471		KEGG_ARACHIDONIC_ACID_METABOLISM	true	true
CYC1	URM1	0.7601			true	false
CYC1	TSSC4	0.728367			true	false
CYC1	TAF10	0.770154		KEGG_BASAL_TRANSCRIPTION_FACTORS	true	false
CYC1	PSMC3	0.775288		KEGG_PROTEASOME	true	false
CYC1	PRPF19	0.726191		KEGG_SPLICEOSOME,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	true	false
CYC1	COX8A	0.772519		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	CFL1	0.731903		KEGG_AXON_GUIDANCE,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	true	false
CYC1	YIF1A	0.712754			true	false
CYC1	BRMS1	0.775488			true	false
CYC1	DPP3	0.724006			true	false
CYC1	LAMTOR1	0.75879			true	false
CYC1	ORMDL2	0.700725			true	false
CYC1	ATP5B	0.71513		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PSMD9	0.743409			true	false
CYC1	COX5A	0.710779		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	MRPL28	0.747274			true	true
CYC1	TBL3	0.713433			true	false
CYC1	TUFM	0.846355			true	true
CYC1	TMEM208	0.789002			true	false
CYC1	ATP6V0D1	0.704969		KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_LYSOSOME,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
CYC1	PSMB6	0.769664		KEGG_PROTEASOME	true	false
CYC1	C1QBP	0.741141			true	true
CYC1	EIF5A	0.725647			true	false
CYC1	PSMB3	0.79434		KEGG_PROTEASOME	true	false
CYC1	G6PC3	0.745421			true	false
CYC1	ATP5G1	0.807491		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	SNF8	0.801115		KEGG_ENDOCYTOSIS	true	false
CYC1	PHB	0.76196			true	true
CYC1	SLC35B1	0.773252			true	false
CYC1	ARHGDIA	0.753723		KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	true	false
CYC1	ALYREF	0.717073			true	false
CYC1	TIMM13	0.742311			true	true
CYC1	DOHH	0.723543			true	false
CYC1	C19orf10	0.718585			true	false
CYC1	C19orf70	0.7038			true	true
CYC1	CLPP	0.734996			true	true
CYC1	MRPL4	0.817389			true	true
CYC1	ASNA1	0.747422			true	false
CYC1	FARSA	0.709939		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	true	false
CYC1	RAD23A	0.715507		KEGG_NUCLEOTIDE_EXCISION_REPAIR	true	false
CYC1	COPE	0.780229			true	false
CYC1	DDX49	0.776662			true	false
CYC1	TMEM147	0.726322			true	false
CYC1	COX6B1	0.701889		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PSMD8	0.840558		KEGG_PROTEASOME	true	false
CYC1	NFKBIB	0.759477		KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG_LEISHMANIA_INFECTION,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	true	false
CYC1	MRPS12	0.745014			true	true
CYC1	TIMM50	0.801793			true	true
CYC1	PSMC4	0.758053		KEGG_PROTEASOME	true	false
CYC1	TOMM40	0.741649		KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	true	true
CYC1	RUVBL2	0.826842			true	false
CYC1	HSPBP1	0.73192			true	false
CYC1	EIF6	0.709075			true	false
CYC1	PSMA7	0.784514		KEGG_PROTEASOME	true	false
CYC1	ADRM1	0.718403			true	false
CYC1	PES1	0.777573			true	false
CYC1	ADSL	0.701622		KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG_PURINE_METABOLISM	true	false
CYC1	SLC35A2	0.702753			true	false
CYC1	HSD17B10	0.822115		KEGG_ALZHEIMERS_DISEASE,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
CYC1	SSR4	0.719385			true	false
CYC1	NAA10	0.751047			true	false
SDHB	NDUFA4	0.732893	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	NDUFB6	0.70182		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	VDAC2	0.712715		KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG_HUNTINGTONS_DISEASE,KEGG_PARKINSONS_DISEASE	true	true
SDHB	EMC7	0.703027			true	false
SDHB	ATP6V1E1	0.726587		KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
COQ7	ZBTB14	0.722598			true	false
UQCRC1	COPS6	0.758542	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	false
UQCRC1	PPP1CA	0.701533		KEGG_FOCAL_ADHESION,KEGG_INSULIN_SIGNALING_PATHWAY,KEGG_LONG_TERM_POTENTIATION,KEGG_OOCYTE_MEIOSIS,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	true	false
UQCRC1	ASNA1	0.719487			true	false
COQ5	ZNF691	0.725019			true	false
COQ9	BCS1L	0.742878			true	true
COQ9	DTYMK	0.707566		KEGG_PYRIMIDINE_METABOLISM	true	true
COQ9	SSNA1	0.703094			true	false
COQ9	SMUG1	0.702776		KEGG_BASE_EXCISION_REPAIR	true	false
COQ9	SLC25A11	0.702237			true	true
ATP5D	AURKAIP1	0.827424	KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
ATP5D	LSM10	0.71436			true	false
ATP5D	C1orf122	0.758526			true	false
ATP5D	JTB	0.701955			true	false
ATP5D	LAMTOR2	0.772153			true	false
ATP5D	DUSP23	0.700088			true	false
