MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	AURKAIP1	0.778695	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
CYC1	SRM	0.765899		KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG_BETA_ALANINE_METABOLISM,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG_GLUTATHIONE_METABOLISM	true	false
CYC1	DPH2	0.722481			true	false
CYC1	ERI3	0.737937			true	false
CYC1	APOA1BP	0.730179			true	true
CYC1	TOR3A	0.705271			true	false
CYC1	RRP9	0.737126			true	false
CYC1	NDUFS6	0.789117		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	VARS	0.734553		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	true	false
CYC1	EIF3B	0.723955			true	false
CYC1	C7orf43	0.707607			true	false
CYC1	ARF5	0.708389			true	true
CYC1	PYCRL	0.701057		KEGG_ARGININE_AND_PROLINE_METABOLISM	true	false
CYC1	GPAA1	0.703914		KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	true	false
CYC1	DEAF1	0.706143			true	false
CYC1	TSSC4	0.701295			true	false
CYC1	NDUFS3	0.775779		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	SCYL1	0.733164			true	false
CYC1	YIF1A	0.762542			true	false
CYC1	NDUFS8	0.756012		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	HMBS	0.71325		KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	true	true
CYC1	MCRS1	0.700337			true	false
CYC1	E2F4	0.740447		KEGG_CELL_CYCLE,KEGG_TGF_BETA_SIGNALING_PATHWAY	true	false
CYC1	TUBG1	0.726086			true	false
CYC1	ATP5G1	0.700295		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	MRPL4	0.835344			true	true
CYC1	GIPC1	0.756678			true	false
CYC1	LSM4	0.767469		KEGG_RNA_DEGRADATION,KEGG_SPLICEOSOME	true	false
CYC1	RBM42	0.711613			true	false
CYC1	TIMM50	0.783867			true	true
CYC1	PSMC4	0.700321		KEGG_PROTEASOME	true	false
CYC1	RUVBL2	0.718136			true	false
CYC1	SNRPB	0.771406		KEGG_SPLICEOSOME,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	true	false
CYC1	HSD17B10	0.723589		KEGG_ALZHEIMERS_DISEASE,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
SDHB	PPM1G	0.709478	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	false
SDHB	CCNYL1	0.712222			true	false
SDHB	PTPRG	0.701016			true	false
SDHB	PSMD6	0.721214		KEGG_PROTEASOME	true	false
SDHB	RRAGA	0.792143			true	false
SDHB	ATP5B	0.716437		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	PSMA3	0.71099		KEGG_PROTEASOME	true	false
SDHB	CTDP1	0.715947			true	false
SDHB	UQCRFS1	0.742629		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	PSMC4	0.705749		KEGG_PROTEASOME	true	false
SDHB	ADRM1	0.751692			true	false
SDHB	U2AF1	0.704102		KEGG_SPLICEOSOME	true	false
SDHB	SUN2	0.762204			true	false
SDHB	MT-CO1	0.735441			true	true
UQCRC1	PTGES2	0.7016	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ARACHIDONIC_ACID_METABOLISM	true	true
UQCRC1	PSMC3	0.771991		KEGG_PROTEASOME	true	false
UQCRC1	MTCH2	0.705091			true	true
UQCRC1	IDH2	0.718821		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLUTATHIONE_METABOLISM,KEGG_PEROXISOME	true	true
UQCRC1	PSMB6	0.705019		KEGG_PROTEASOME	true	false
UQCRC1	PFN1	0.700087		KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	true	false
UQCRC1	ELAC2	0.702898			true	true
UQCRC1	PSMC4	0.747898		KEGG_PROTEASOME	true	false
UQCRC1	PYGB	0.706969		KEGG_INSULIN_SIGNALING_PATHWAY,KEGG_STARCH_AND_SUCROSE_METABOLISM	true	false
UQCRC1	AP1B1	0.722776		KEGG_LYSOSOME	true	false
COQ5	EFCAB7	0.72234			true	false
COQ5	MTX2	0.702114			true	true
COQ5	METTL6	0.731797		KEGG_HISTIDINE_METABOLISM,KEGG_SELENOAMINO_ACID_METABOLISM,KEGG_TYROSINE_METABOLISM	true	false
COQ5	ZKSCAN7	0.727877			true	false
COQ5	SIRT5	0.701478			true	true
COQ5	EXD2	0.714419			true	false
COQ5	ZNF610	0.719277			true	false
COQ9	DFFB	0.720153		KEGG_APOPTOSIS	true	false
COQ9	GALE	0.711348		KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG_GALACTOSE_METABOLISM	true	false
COQ9	XKR8	0.705121			true	false
COQ9	HECTD3	0.712739			true	false
COQ9	AP4B1	0.732306		KEGG_LYSOSOME	true	false
COQ9	SCAMP3	0.711014			true	false
COQ9	CLK2	0.735283			true	false
COQ9	TBCE	0.70871			true	false
COQ9	MPV17	0.732521		KEGG_PEROXISOME	true	true
COQ9	ELMOD3	0.72937			true	false
COQ9	MITD1	0.718543			true	false
COQ9	BCS1L	0.821259			true	true
COQ9	COPS7B	0.736296			true	false
COQ9	DTYMK	0.727571		KEGG_PYRIMIDINE_METABOLISM	true	true
COQ9	ACAA1	0.706211		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG_FATTY_ACID_METABOLISM,KEGG_PEROXISOME,KEGG_PPAR_SIGNALING_PATHWAY,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
COQ9	NPRL2	0.747516			true	false
COQ9	HARS2	0.729986		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	true	true
