MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	UQCRC1	0.801415	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	GOT1	0.704644		KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG_PHENYLALANINE_METABOLISM,KEGG_TYROSINE_METABOLISM	true	false
CYC1	NDUFS3	0.779333		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NDUFA9	0.732349		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	MRPL4	0.713446			true	true
SDHB	ICMT	0.709965	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	false
SDHB	RBBP4	0.720073			true	false
SDHB	PRDX1	0.787601		KEGG_PEROXISOME	true	false
SDHB	PSMA5	0.707615		KEGG_PROTEASOME	true	false
SDHB	EPRS	0.716896		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	true	false
SDHB	FH	0.824878		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_PATHWAYS_IN_CANCER,KEGG_RENAL_CELL_CARCINOMA	true	true
SDHB	DDX1	0.747661			true	false
SDHB	MDH1	0.710842		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,KEGG_PYRUVATE_METABOLISM	true	true
SDHB	RAB1A	0.71891			true	false
SDHB	DYNC1I2	0.702474		KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	true	false
SDHB	ATP5G3	0.776986		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	NDUFS1	0.730161		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	XRCC5	0.707013		KEGG_NON_HOMOLOGOUS_END_JOINING	true	false
SDHB	PSMD1	0.740903		KEGG_PROTEASOME	true	false
SDHB	PRKAR2A	0.705562		KEGG_APOPTOSIS,KEGG_INSULIN_SIGNALING_PATHWAY	true	false
SDHB	PDHB	0.731715		KEGG_BUTANOATE_METABOLISM,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_PYRUVATE_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	true	true
SDHB	PSMD6	0.733421		KEGG_PROTEASOME	true	false
SDHB	MRPS22	0.75012			true	true
SDHB	WDR1	0.70319			true	false
SDHB	SDAD1	0.709141			true	false
SDHB	MRPS18C	0.755486			true	true
SDHB	SLC25A4	0.734704		KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG_HUNTINGTONS_DISEASE,KEGG_PARKINSONS_DISEASE	true	true
SDHB	PAIP1	0.716264			true	false
SDHB	H2AFY	0.739906		KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	true	false
SDHB	PREP	0.703636			true	false
SDHB	AIMP2	0.765459			true	false
SDHB	NDUFA4	0.710687		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	MALSU1	0.744072			true	true
SDHB	TAX1BP1	0.716768			true	false
SDHB	DLD	0.78679		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_PYRUVATE_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
SDHB	CAPZA2	0.704858			true	false
SDHB	SSBP1	0.789289		KEGG_DNA_REPLICATION,KEGG_HOMOLOGOUS_RECOMBINATION,KEGG_MISMATCH_REPAIR	true	true
SDHB	UBE3C	0.723395		KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	true	false
SDHB	NDUFB9	0.702066		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	RRAGA	0.791428			true	false
SDHB	ATP5C1	0.806614		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	CDC123	0.749286			true	false
SDHB	ANXA7	0.724403			true	false
SDHB	VDAC2	0.723183		KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG_HUNTINGTONS_DISEASE,KEGG_PARKINSONS_DISEASE	true	true
SDHB	GHITM	0.817267			true	true
SDHB	EIF3A	0.70752			true	false
SDHB	PSMA1	0.709505		KEGG_PROTEASOME	true	false
SDHB	ACAT1	0.713537		KEGG_BUTANOATE_METABOLISM,KEGG_FATTY_ACID_METABOLISM,KEGG_LYSINE_DEGRADATION,KEGG_PROPANOATE_METABOLISM,KEGG_PYRUVATE_METABOLISM,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,KEGG_TRYPTOPHAN_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
SDHB	DLAT	0.70093		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_PYRUVATE_METABOLISM	true	true
SDHB	ATP5B	0.791973		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	MTMR6	0.728874		KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG_RIBOFLAVIN_METABOLISM	true	false
SDHB	PSMA6	0.789472		KEGG_PROTEASOME	true	true
SDHB	PSMA3	0.743715		KEGG_PROTEASOME	true	false
SDHB	ACOT2	0.713114		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	true	true
SDHB	EMC4	0.703939			true	false
SDHB	NPTN	0.750607			true	false
SDHB	NDUFAB1	0.80713		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	PSMB6	0.730031		KEGG_PROTEASOME	true	false
SDHB	C1QBP	0.785659			true	true
SDHB	BECN1	0.724074		KEGG_REGULATION_OF_AUTOPHAGY	true	false
SDHB	ATP5A1	0.74652		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	UQCRFS1	0.81718		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	SAE1	0.721449		KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	true	false
SDHB	MAPRE1	0.71833			true	false
SDHB	RTFDC1	0.759322			true	false
SDHB	MRPL39	0.738453			true	true
SDHB	ATP6V1E1	0.776116		KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
SDHB	XRCC6	0.743117		KEGG_NON_HOMOLOGOUS_END_JOINING	true	false
SDHB	SLC25A5	0.713685		KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG_HUNTINGTONS_DISEASE,KEGG_PARKINSONS_DISEASE	true	true
SDHA	PARD3	0.708213	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ADHERENS_JUNCTION,KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG_ENDOCYTOSIS,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG_TIGHT_JUNCTION	true	false
SDHA	JAM3	0.70145		KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG_TIGHT_JUNCTION	true	false
SDHA	UQCRC2	0.722889		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHA	SLC24A3	0.700684			true	false
UQCRC1	ATP5G3	0.723571	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	NDUFB9	0.715111		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	CYC1	0.801415		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	STOML2	0.736848			true	true
UQCRC1	HK1	0.717871		KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG_GALACTOSE_METABOLISM,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_INSULIN_SIGNALING_PATHWAY,KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG_TYPE_II_DIABETES_MELLITUS	true	true
UQCRC1	NDUFS3	0.782257		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
