MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	PRADC1	0.704834	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	false
CYC1	STOML2	0.726002			true	true
CYC1	NDUFS3	0.712904		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NDUFS8	0.709891		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	TUFM	0.745935			true	true
CYC1	TIMM13	0.713595			true	true
CYC1	MRPL4	0.783331			true	true
CYC1	MRPS12	0.725096			true	true
SDHB	NDUFA4	0.756	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	ATP5C1	0.728843		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	ATP5J	0.74124		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
COQ7	TTC8	0.705105			true	false
COQ7	IMPACT	0.70374			true	false
UQCRC1	COX5B	0.74735	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	MDH2	0.783963		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PYRUVATE_METABOLISM	true	true
UQCRC1	COX8A	0.790941		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	ATP5B	0.800993		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	BSG	0.700094			true	false
UQCRC1	BCAP31	0.746677			true	false
COQ5	IFT46	0.733645			true	false
PDHA1	ACADM	0.806231	KEGG_BUTANOATE_METABOLISM,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_PYRUVATE_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	KEGG_BETA_ALANINE_METABOLISM,KEGG_FATTY_ACID_METABOLISM,KEGG_PPAR_SIGNALING_PATHWAY,KEGG_PROPANOATE_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
PDHA1	TMEM56	0.804067			true	false
PDHA1	HAO2	0.743381		KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PEROXISOME	true	true
PDHA1	IDH1	0.748241		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLUTATHIONE_METABOLISM,KEGG_PEROXISOME	true	true
PDHA1	PECR	0.744603		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG_PEROXISOME	true	false
PDHA1	ACAA1	0.728746		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG_FATTY_ACID_METABOLISM,KEGG_PEROXISOME,KEGG_PPAR_SIGNALING_PATHWAY,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
PDHA1	ACOX2	0.745312		KEGG_PEROXISOME,KEGG_PPAR_SIGNALING_PATHWAY,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	true	false
PDHA1	ALDH1L1	0.770005		KEGG_ONE_CARBON_POOL_BY_FOLATE	true	true
PDHA1	PCCB	0.713179		KEGG_PROPANOATE_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
PDHA1	RBM47	0.761527			true	false
PDHA1	HADH	0.813693		KEGG_BUTANOATE_METABOLISM,KEGG_FATTY_ACID_METABOLISM,KEGG_LYSINE_DEGRADATION,KEGG_TRYPTOPHAN_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
PDHA1	ACSL1	0.71416		KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG_FATTY_ACID_METABOLISM,KEGG_PEROXISOME,KEGG_PPAR_SIGNALING_PATHWAY	true	true
PDHA1	C5orf27	0.739245			true	false
PDHA1	FOXC1	0.702829			true	false
PDHA1	ECI2	0.713521		KEGG_FATTY_ACID_METABOLISM,KEGG_PEROXISOME	true	true
PDHA1	ELOVL5	0.73886		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	true	false
PDHA1	DDO	0.75313		KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG_PEROXISOME	true	false
PDHA1	ROS1	0.702076			true	false
PDHA1	GLDC	0.739306		KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	true	true
PDHA1	ACO1	0.766392		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	true	true
PDHA1	ACSL5	0.758769		KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG_FATTY_ACID_METABOLISM,KEGG_PEROXISOME,KEGG_PPAR_SIGNALING_PATHWAY	true	false
PDHA1	PNLIPRP3	0.703999			true	false
PDHA1	FADS1	0.726626		KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	true	false
