MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	UQCRC1	0.707051	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	STOML2	0.711901			true	true
CYC1	COX8A	0.743136		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PSMB3	0.701209		KEGG_PROTEASOME	true	false
CYC1	MRPL4	0.746937			true	true
CYC1	MRPS12	0.719072			true	true
CYC1	TIMM17B	0.732687			true	true
COQ7	NSL1	0.705839			true	false
COQ7	RMDN1	0.722868			true	true
COQ7	TTC8	0.707359			true	false
UQCRC1	MDH2	0.728739	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PYRUVATE_METABOLISM	true	true
UQCRC1	CYC1	0.707051		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	ATP5B	0.750588		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
COQ5	IFT46	0.72742			true	false
COQ5	NDUFAF1	0.720169			true	true
PDHA1	PC	0.712887	KEGG_BUTANOATE_METABOLISM,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_PYRUVATE_METABOLISM,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_PYRUVATE_METABOLISM	true	true
ATP5D	AURKAIP1	0.861703	KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
ATP5D	COX5B	0.734529		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
ATP5D	MZT2B	0.791967			true	false
ATP5D	THAP4	0.709012			true	false
ATP5D	HIGD2A	0.793692			true	true
ATP5D	CUTA	0.714201			true	false
ATP5D	TMUB1	0.755465			true	false
ATP5D	C9orf16	0.744166			true	false
ATP5D	FBXL15	0.732478			true	false
ATP5D	RPLP2	0.70822		KEGG_RIBOSOME	true	false
ATP5D	MRPL23	0.751184			true	true
