MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	APOA1BP	0.741781	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
CYC1	MRPL24	0.711953			true	true
CYC1	FH	0.730105		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_PATHWAYS_IN_CANCER,KEGG_RENAL_CELL_CARCINOMA	true	true
CYC1	PRADC1	0.752422			true	false
CYC1	COX5B	0.708959		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	ATP5G3	0.805514		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	SEC13	0.702768			true	false
CYC1	UQCRC1	0.839182		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	ALG3	0.701595		KEGG_N_GLYCAN_BIOSYNTHESIS	true	false
CYC1	NDUFS6	0.78954		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	UQCRQ	0.767793		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	COX7A2	0.760488		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NDUFA4	0.712682		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	OGDH	0.7088		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_LYSINE_DEGRADATION,KEGG_TRYPTOPHAN_METABOLISM	true	true
CYC1	MDH2	0.822698		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PYRUVATE_METABOLISM	true	true
CYC1	NDUFB2	0.790843		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NDUFB9	0.752965		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NDUFA8	0.72262		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	SLC27A4	0.769275		KEGG_PPAR_SIGNALING_PATHWAY	true	false
CYC1	ATP5C1	0.712358		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	MRPS16	0.731968			true	true
CYC1	PSMC3	0.760221		KEGG_PROTEASOME	true	false
CYC1	NDUFS3	0.748235		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	MTCH2	0.727376			true	true
CYC1	COX8A	0.782874		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NUDT22	0.79365			true	false
CYC1	CAPN1	0.708186		KEGG_ALZHEIMERS_DISEASE,KEGG_APOPTOSIS	true	false
CYC1	RAB1B	0.703429			true	false
CYC1	YIF1A	0.705429			true	false
CYC1	DPP3	0.741086			true	false
CYC1	PPP1CA	0.716687		KEGG_FOCAL_ADHESION,KEGG_INSULIN_SIGNALING_PATHWAY,KEGG_LONG_TERM_POTENTIATION,KEGG_OOCYTE_MEIOSIS,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	true	false
CYC1	GSTP1	0.730361		KEGG_DRUG_METABOLISM_CYTOCHROME_P450,KEGG_GLUTATHIONE_METABOLISM,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG_PATHWAYS_IN_CANCER,KEGG_PROSTATE_CANCER	true	false
CYC1	NDUFS8	0.797162		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	HMBS	0.749534		KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	true	true
CYC1	NDUFA9	0.758119		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	GAPDH	0.740993		KEGG_ALZHEIMERS_DISEASE,KEGG_GLYCOLYSIS_GLUCONEOGENESIS	true	true
CYC1	ORMDL2	0.718046			true	false
CYC1	ATP5B	0.76179		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	COX6A1	0.70618		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PSMB5	0.748337		KEGG_PROTEASOME	true	false
CYC1	COX5A	0.8418		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	ECI1	0.722198		KEGG_FATTY_ACID_METABOLISM	true	true
CYC1	NDUFAB1	0.753538		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	ALDOA	0.76568		KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_PENTOSE_PHOSPHATE_PATHWAY	true	false
CYC1	TMEM208	0.733423			true	false
CYC1	ATP6V0D1	0.753539		KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_LYSOSOME,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
CYC1	PSMB6	0.795428		KEGG_PROTEASOME	true	false
CYC1	MPDU1	0.721592			true	false
CYC1	DHRS7B	0.726004			true	true
CYC1	G6PC3	0.765629			true	false
CYC1	ATP5G1	0.817022		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	SNF8	0.740467		KEGG_ENDOCYTOSIS	true	false
CYC1	ATP5H	0.730725		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	ATP5A1	0.749771		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PLEKHJ1	0.746425			true	false
CYC1	C19orf70	0.763988			true	true
CYC1	PRDX2	0.714341			true	true
CYC1	COPE	0.701438			true	false
CYC1	COX6B1	0.786784		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PSMD8	0.723694		KEGG_PROTEASOME	true	false
CYC1	PSMC4	0.736421		KEGG_PROTEASOME	true	false
CYC1	ISOC2	0.742195			true	true
CYC1	ATP5O	0.708414		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	RHBDD3	0.709681			true	false
CYC1	AP1B1	0.717441		KEGG_LYSOSOME	true	false
CYC1	APOO	0.72563			true	true
CYC1	HSD17B10	0.785656		KEGG_ALZHEIMERS_DISEASE,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
CYC1	COX7B	0.798651		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
