MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	AURKAIP1	0.789115	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
CYC1	MRPL20	0.767134			true	true
CYC1	SRM	0.743984		KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG_BETA_ALANINE_METABOLISM,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG_GLUTATHIONE_METABOLISM	true	false
CYC1	MRTO4	0.820229			true	false
CYC1	DDOST	0.714152		KEGG_N_GLYCAN_BIOSYNTHESIS	true	false
CYC1	EBNA1BP2	0.743942			true	false
CYC1	ERI3	0.724784			true	false
CYC1	WDR77	0.710951			true	false
CYC1	APOA1BP	0.764509			true	true
CYC1	MRPL24	0.77435			true	true
CYC1	TSSC1	0.729562			true	false
CYC1	WDR12	0.704323			true	false
CYC1	SEC13	0.762675			true	false
CYC1	UQCRC1	0.7474		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	NDUFAF3	0.783247			true	true
CYC1	RRP9	0.761067			true	false
CYC1	ALG3	0.719617		KEGG_N_GLYCAN_BIOSYNTHESIS	true	false
CYC1	NDUFS6	0.832466		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	UQCRQ	0.722655		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PRELID1	0.758094			true	true
CYC1	VARS	0.742552		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	true	false
CYC1	UQCC2	0.716597			true	true
CYC1	SNRPC	0.803968		KEGG_SPLICEOSOME	true	false
CYC1	BYSL	0.766468			true	false
CYC1	DNPH1	0.761856			true	false
CYC1	SF3B5	0.725629		KEGG_SPLICEOSOME	true	false
CYC1	EIF3B	0.703868			true	false
CYC1	TBRG4	0.702609			true	true
CYC1	MDH2	0.804794		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PYRUVATE_METABOLISM	true	true
CYC1	COPS6	0.81884			true	false
CYC1	POP7	0.714909			true	false
CYC1	NDUFB9	0.766624		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	PYCRL	0.719474		KEGG_ARGININE_AND_PROLINE_METABOLISM	true	false
CYC1	SIGMAR1	0.810872			true	false
CYC1	STOML2	0.743476			true	true
CYC1	SEC61B	0.738414		KEGG_PROTEIN_EXPORT,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
CYC1	PSMB7	0.766253		KEGG_PROTEASOME	true	false
CYC1	PTGES2	0.820268		KEGG_ARACHIDONIC_ACID_METABOLISM	true	true
CYC1	PSMD13	0.745114		KEGG_PROTEASOME	true	false
CYC1	SLC25A22	0.710889			true	true
CYC1	NDUFS3	0.759127		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	CCDC86	0.716026			true	false
CYC1	COX8A	0.792195		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	SSSCA1	0.724681			true	false
