MitoGene	ProteinGene	Correlation	PathwayList	PathwayList	isMitocondrial	isMitocondrial
CYC1	ERI3	0.745216	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	false
CYC1	SCAMP3	0.791289			true	false
CYC1	SNX17	0.749193			true	false
CYC1	COPS6	0.711655			true	false
CYC1	GNB2	0.731996		KEGG_CHEMOKINE_SIGNALING_PATHWAY	true	false
CYC1	AK1	0.704728		KEGG_PURINE_METABOLISM	true	false
CYC1	OTUB1	0.738122			true	false
CYC1	NDUFA9	0.705902		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	MRPS11	0.714877			true	true
CYC1	STUB1	0.706237		KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	true	false
CYC1	MRPS34	0.778988			true	true
CYC1	NDUFB10	0.701676		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
CYC1	TBL3	0.757663			true	false
CYC1	NUTF2	0.709268			true	false
CYC1	TIMM13	0.70022			true	true
CYC1	MRPL4	0.784299			true	true
CYC1	FARSA	0.765344		KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	true	false
CYC1	RBM42	0.713063			true	false
CYC1	GSK3A	0.733535		KEGG_CHEMOKINE_SIGNALING_PATHWAY	true	false
CYC1	AP2S1	0.707913		KEGG_ENDOCYTOSIS,KEGG_HUNTINGTONS_DISEASE	true	false
CYC1	UBE2M	0.726904		KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	true	false
CYC1	EIF6	0.728526			true	false
CYC1	AP1B1	0.713112		KEGG_LYSOSOME	true	false
CYC1	MCAT	0.731234			true	true
CYC1	HSD17B10	0.706932		KEGG_ALZHEIMERS_DISEASE,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	true	true
CYC1	IDH3G	0.723873		KEGG_CITRATE_CYCLE_TCA_CYCLE	true	true
SDHB	PSMB2	0.740152	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_PROTEASOME	true	false
SDHB	ATP5F1	0.776046		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	MDH1	0.720252		KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,KEGG_PYRUVATE_METABOLISM	true	true
SDHB	CCT7	0.700919			true	true
SDHB	ATP5G3	0.785206		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	ATIC	0.704615		KEGG_ONE_CARBON_POOL_BY_FOLATE,KEGG_PURINE_METABOLISM	true	true
SDHB	NDUFS4	0.718571		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	PCMT1	0.703442			true	false
SDHB	NDUFB9	0.71874		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	ATP5C1	0.701086		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	VDAC2	0.780442		KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG_HUNTINGTONS_DISEASE,KEGG_PARKINSONS_DISEASE	true	true
SDHB	GHITM	0.730038			true	true
SDHB	TRMT112	0.710354			true	false
SDHB	ATP5B	0.801286		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	EMC7	0.743696			true	false
SDHB	EMC4	0.763132			true	false
SDHB	COX5A	0.742396		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	UQCRC2	0.759673		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	NDUFAB1	0.751035		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHB	GABARAPL2	0.700449		KEGG_REGULATION_OF_AUTOPHAGY	true	false
SDHB	YWHAE	0.727702		KEGG_CELL_CYCLE,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_OOCYTE_MEIOSIS	true	false
SDHB	MRPL39	0.700681			true	true
SDHB	ATP6V1E1	0.779455		KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_VIBRIO_CHOLERAE_INFECTION	true	false
SDHB	XRCC6	0.768408		KEGG_NON_HOMOLOGOUS_END_JOINING	true	false
SDHB	ATXN10	0.707344			true	false
COQ7	COX20	0.701907			true	true
COQ7	ASH2L	0.722275			true	false
SDHA	FH	0.730337	KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_PATHWAYS_IN_CANCER,KEGG_RENAL_CELL_CARCINOMA	true	true
SDHA	UQCRC1	0.705011		KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
SDHA	DDB1	0.733062		KEGG_NUCLEOTIDE_EXCISION_REPAIR,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	true	false
SDHA	ATP5B	0.719372		KEGG_ALZHEIMERS_DISEASE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
UQCRC1	APOA1BP	0.761888	KEGG_ALZHEIMERS_DISEASE,KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE		true	true
UQCRC1	AAMP	0.704675			true	false
UQCRC1	SDHA	0.705011		KEGG_ALZHEIMERS_DISEASE,KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_HUNTINGTONS_DISEASE,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_PARKINSONS_DISEASE	true	true
